Unnamed: 0|ID|LIBELLE|SEUIL|UNITE|QUANTITEPARPACK|PU|ACTIF|PHOTO|CALORIE|DURRE|COMPOSE|CATEGORIEINGREDIENT|IDFOURNISSEUR|DATY|QTELIMITE|PV|LIBELLEVENTE|SEUILMIN|SEUILMAX|PUACHATUSD|PUACHATEURO|PUACHATAUTREDEVISE|PUVENTEUSD|PUVENTEEURO|PUVENTEAUTREDEVISE|ISVENTE|ISACHAT|COMPTE_VENTE|COMPTE_ACHAT|LIBELLEEXTACTE|TVA|FILEPATH|RESTE|TYPESTOCK|IDCHAMBRE|ISPERISHABLE|PV2|CODEBARRE|TYPEINGREDIENT|REFERENCE|Unnamed: 41
|--------|------------------------------------------------------------------------------|-----|---------------|---------------|---------|-----|-----|-------|-----|-------|-------------------|-------------|-----------------------|---------|----------|------------|--------|--------|----------|-----------|------------------|----------|-----------|------------------|-------|-------|------------|------------|--------------|------|--------|-----|---------|---------|------------|----------|-------------|--------------|---------|
|IG000318|Complexe Aro Godro ( goutte ) - Flacon 20ml                                   |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATHOM             |             |                       |0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |9    |CUMP     |         |0           |5,000     |             |              |         |
|IG000319|Complexe Aro  Kibo ( diarhhées ,problèmes intestinaux ) - Flacon 20ml         |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATHOM             |             |                       |0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |10   |CUMP     |         |0           |5,000     |             |              |         |
|IG000320|Complexe Aro Kohaka ( anti-toux ) - Flacon 20ml                               |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATHOM             |             |                       |0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |12   |CUMP     |         |0           |5,000     |             |              |         |
|IG000321|Complexe Magistral Composé - Flacon 20ml                                      |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATHOM             |             |                       |0        |5,000     |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |0     |        |     |CUMP     |         |0           |5,000     |             |              |         |
|IG000322|Complexe Aro prostate - Flacon 20ml                                           |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATHOM             |             |                       |0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |10   |CUMP     |         |0           |5,000     |             |              |         |
|IG000323|Complexe Aro Sempotra ( asthme , essouflement ) - Flacon 20ml                 |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATHOM             |             |                       |0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |7    |CUMP     |         |0           |5,000     |             |              |         |
|IG000324|Complexe Aro Sery ( grippe et fièvre ) - Flacon 20ml                          |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATHOM             |             |                       |0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |25   |CUMP     |         |0           |5,000     |             |              |         |
|IG000325|Complexe Aro Tenda ( maux de gorge ) - Flacon 20ml                            |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATHOM             |             |                       |0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |5    |CUMP     |         |0           |5,000     |             |              |         |
|IG000326|CDS biothérapie - Flacon 20ml                                                 |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |10,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |133  |CUMP     |         |0           |10,000    |             |              |         |
